log_datetime page_of_speech row_index
2020-04-16 17:06:05 1 0
2020-04-16 17:06:37 1 1
2020-04-16 17:07:20 1 2
2020-04-16 17:13:01 1 3
2020-04-17 16:29:26 1 4
2020-04-17 16:30:45 1 5
2020-04-17 16:31:32 1 6
2020-04-17 16:32:21 1 7
2020-04-17 16:33:10 1 8
2020-04-17 16:33:43 1 9
2020-04-17 16:34:44 1 10
2020-04-17 16:35:23 1 11
2020-04-17 16:35:56 1 12
2020-04-17 16:36:29 1 13
2020-04-17 16:37:07 1 14
2020-04-17 16:37:38 1 15
2020-04-17 16:38:10 1 16
2020-04-17 16:38:44 1 17
2020-04-17 17:03:02 2 18
2020-04-17 17:04:14 2 19
2020-04-17 17:04:51 2 20
2020-04-17 17:14:22 1 21
2020-04-17 17:14:56 1 22
2020-04-17 21:04:04 2 23
2020-04-17 21:04:49 2 24
2020-04-17 21:05:31 2 25
2020-04-17 21:06:30 2 26
2020-04-17 21:07:17 2 27
2020-04-17 21:08:04 2 28
2020-04-17 21:09:08 2 29
2020-04-17 21:10:22 2 30
2020-04-17 21:11:15 2 31
2020-04-17 21:12:53 2 32
2020-04-17 21:13:40 2 33
2020-04-17 21:14:40 2 34
2020-04-17 21:15:59 2 35
2020-04-17 21:19:11 2 36
2020-04-17 21:22:05 2 37
2020-04-17 21:23:06 2 38
2020-04-17 21:24:03 2 39
2020-04-17 21:25:31 3 40
2020-04-17 21:26:53 3 41
2020-04-17 21:28:45 3 42
2020-04-17 21:31:47 3 43
2020-04-17 21:32:44 3 44
2020-04-17 21:33:36 3 45
2020-04-17 21:34:59 3 46
2020-04-17 21:35:53 3 47
2020-04-17 21:37:06 3 48
2020-04-17 21:37:51 3 49
2020-04-17 21:38:36 3 50
2020-04-17 21:39:14 3 51
2020-04-17 21:40:28 3 52
2020-04-18 14:52:34 2 44
2020-04-18 14:56:11 2 43
2020-04-18 15:02:19 2 43
2020-04-18 15:10:49 2 43
2020-04-18 15:11:38 2 44
2020-04-18 15:12:26 2 45
2020-04-18 15:13:23 2 46
2020-04-18 15:14:20 2 47
2020-04-18 15:15:44 3 48
2020-04-18 15:16:31 3 49
2020-04-18 15:17:15 3 50
2020-04-18 15:18:05 3 51
2020-04-18 15:19:04 3 52
2020-04-20 15:59:41 3 53
2020-04-20 16:00:12 3 54
2020-04-20 16:00:46 3 55
2020-04-20 16:01:27 3 56
2020-04-20 16:02:10 3 57
2020-04-20 16:02:46 3 58
2020-04-20 16:03:24 3 59
2020-04-20 16:04:14 4 60
2020-04-20 16:04:56 4 61
2020-04-20 16:05:31 4 62
2020-04-20 16:06:03 4 63
2020-04-20 16:06:36 4 64
2020-04-20 16:07:11 4 65
2020-04-20 16:07:50 4 66
2020-04-20 16:08:35 4 67
2020-04-20 16:09:07 4 68
2020-04-20 16:09:53 4 69
2020-04-20 16:10:39 4 70
2020-04-20 16:11:11 4 71
2020-04-20 16:11:59 4 72
2020-04-20 16:13:00 4 73
2020-04-20 16:14:02 4 74
2020-04-20 16:14:45 4 75
2020-04-20 16:15:29 4 76
2020-04-20 16:16:04 4 77
2020-04-20 16:16:44 4 78
2020-04-20 16:17:19 4 79
2020-04-20 16:18:39 5 80
2020-04-20 16:19:33 5 81
2020-04-20 16:20:26 5 82
2020-04-20 16:21:08 5 83
2020-04-20 16:21:47 5 84
2020-04-20 16:22:27 5 85
2020-04-20 16:23:30 5 86
2020-04-20 16:24:11 5 87
2020-04-20 16:25:03 5 88
2020-04-20 16:25:42 5 89
2020-04-20 16:26:30 5 90
2020-04-20 16:27:10 5 91
2020-04-20 16:27:45 5 92
2020-04-20 16:28:45 5 93
